Rk,Season▼,Team,Comp,CrdY,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,CrdY,CrdR,2CrdY,Fls,Fld
1,2025-2026,Bournemouth,eng Premier League,35,13,5,4,4,19,1.46,1170,64,11,21,23,-2,53.1,4,30.8,19,2,3,1,35,1,0,166,127
2,2025-2026,Brighton,eng Premier League,33,13,6,4,3,22,1.69,1170,62,5,21,16,+5,49.9,3,23.1,19,2,3,1,33,0,0,156,134
3,2025-2026,Tottenham,eng Premier League,32,13,5,3,5,18,1.38,1170,61,12,21,16,+5,53.5,4,30.8,20,0,0,0,32,0,0,153,114
4,2025-2026,Sunderland,eng Premier League,27,13,6,4,3,22,1.69,1170,51,6,17,13,+4,43.2,4,30.8,14,2,2,0,27,1,0,132,134
5,2025-2026,Chelsea,eng Premier League,27,13,7,3,3,24,1.85,1170,56,3,24,12,+12,57.4,6,46.2,23,1,1,0,27,4,1,147,161
6,2025-2026,Wolves,eng Premier League,26,13,0,2,11,2,0.15,1170,59,20,7,28,-21,47.3,0,0.0,5,1,1,0,26,2,0,182,123
7,2025-2026,Everton,eng Premier League,26,13,5,3,5,18,1.38,1170,45,14,14,17,-3,44.4,4,30.8,13,1,1,0,26,1,0,131,147
8,2025-2026,Fulham,eng Premier League,26,13,5,2,6,17,1.31,1170,62,15,15,17,-2,49.8,3,23.1,12,0,0,0,26,0,0,166,142
9,2025-2026,Crystal Palace,eng Premier League,25,13,5,5,3,20,1.54,1170,43,9,17,11,+6,42.9,6,46.2,13,3,3,0,25,0,0,137,139
10,2025-2026,Liverpool,eng Premier League,25,13,7,0,6,21,1.62,1170,55,8,20,20,0,61.2,4,30.8,19,1,1,0,25,0,0,136,136
11,2025-2026,Manchester City,eng Premier League,25,13,8,1,4,25,1.92,1170,54,2,27,12,+15,57.6,5,38.5,25,0,1,1,25,0,0,128,145
12,2025-2026,Brentford,eng Premier League,25,13,6,1,6,19,1.46,1170,57,10,21,20,+1,43.5,2,15.4,16,5,7,2,25,0,0,142,113
13,2025-2026,Leeds United,eng Premier League,22,13,3,2,8,11,0.85,1170,60,18,13,25,-12,47.5,2,15.4,12,1,2,1,22,0,0,139,160
14,2025-2026,West Ham,eng Premier League,22,13,3,2,8,11,0.85,1170,46,17,15,27,-12,44.2,1,7.7,13,1,1,0,22,2,1,139,125
15,2025-2026,Burnley,eng Premier League,22,13,3,1,9,10,0.77,1170,58,19,15,27,-12,40.0,2,15.4,14,1,1,0,22,1,1,129,120
16,2025-2026,Aston Villa,eng Premier League,20,13,7,3,3,24,1.85,1170,61,4,16,11,+5,53.5,5,38.5,16,0,0,0,20,1,0,134,184
17,2025-2026,Nott'ham Forest,eng Premier League,20,13,3,3,7,12,0.92,1170,54,16,13,22,-9,50.5,1,7.7,12,1,1,0,20,0,0,139,141
18,2025-2026,Arsenal,eng Premier League,18,13,9,3,1,30,2.31,1170,56,1,25,7,+18,58.5,7,53.8,23,2,2,0,18,0,0,139,142
19,2025-2026,Manchester Utd,eng Premier League,18,13,6,3,4,21,1.62,1170,55,7,21,20,+1,52.3,1,7.7,18,1,3,2,18,1,1,129,145
20,2025-2026,Newcastle Utd,eng Premier League,15,13,5,3,5,18,1.38,1170,58,13,17,16,+1,49.8,5,38.5,16,1,1,0,15,2,1,149,135
21,2024-2025,Chelsea,eng Premier League,101,38,20,9,9,69,1.82,3420,140,4,64,43,+21,57.1,11,28.9,57,4,5,1,101,2,1,436,444
22,2024-2025,Bournemouth,eng Premier League,97,38,15,11,12,56,1.47,3420,162,9,58,46,+12,48.5,9,23.7,51,6,7,1,97,3,0,525,400
23,2024-2025,Ipswich Town,eng Premier League,93,38,4,10,24,22,0.58,3420,178,19,36,82,-46,40.6,2,5.3,33,2,2,0,93,5,4,430,404
24,2024-2025,Nott'ham Forest,eng Premier League,90,38,19,8,11,65,1.71,3420,167,7,58,46,+12,41.2,13,34.2,54,3,3,0,90,2,2,401,419
25,2024-2025,Southampton,eng Premier League,89,38,2,6,30,12,0.32,3420,180,20,26,86,-60,48.5,3,7.9,25,0,2,2,89,3,0,459,421
26,2024-2025,Leicester City,eng Premier League,87,38,6,7,25,25,0.66,3420,168,18,33,80,-47,45.4,3,7.9,31,2,3,1,87,0,0,420,393
27,2024-2025,Manchester Utd,eng Premier League,86,38,11,9,18,42,1.11,3420,161,15,44,54,-10,53.5,10,26.3,38,4,4,0,86,3,1,403,371
28,2024-2025,West Ham,eng Premier League,82,38,11,10,17,43,1.13,3420,172,14,46,62,-16,48.4,7,18.4,40,3,3,0,82,3,2,443,397
29,2024-2025,Everton,eng Premier League,82,38,11,15,12,48,1.26,3420,130,13,42,44,-2,40.9,12,31.6,37,2,2,0,82,2,1,430,384
30,2024-2025,Crystal Palace,eng Premier League,80,38,13,14,11,53,1.39,3420,148,12,51,51,0,42.8,11,28.9,46,3,4,1,80,4,3,417,403
31,2024-2025,Fulham,eng Premier League,80,38,15,9,14,54,1.42,3420,179,11,54,54,0,52.3,5,13.2,50,3,4,1,80,2,0,432,359
32,2024-2025,Wolves,eng Premier League,79,38,12,6,20,42,1.11,3420,167,16,54,69,-15,48.1,8,21.1,53,0,0,0,79,2,2,480,425
33,2024-2025,Brighton,eng Premier League,78,38,16,13,9,61,1.61,3420,184,8,66,59,+7,52.3,8,21.1,57,7,7,0,78,3,2,438,411
34,2024-2025,Aston Villa,eng Premier League,76,38,19,9,10,66,1.74,3420,170,6,58,51,+7,50.5,9,23.7,53,3,6,3,76,4,2,406,499
35,2024-2025,Tottenham,eng Premier League,72,38,11,5,22,38,1.00,3420,158,17,64,65,-1,54.7,6,15.8,58,3,4,1,72,1,1,446,483
36,2024-2025,Arsenal,eng Premier League,70,38,20,14,4,74,1.95,3420,142,2,69,34,+35,56.9,13,34.2,65,2,2,0,70,6,3,401,405
37,2024-2025,Newcastle Utd,eng Premier League,68,38,20,6,12,66,1.74,3420,163,5,68,47,+21,51.3,13,34.2,61,5,6,1,68,1,0,394,450
38,2024-2025,Liverpool,eng Premier League,67,38,25,9,4,84,2.21,3420,165,1,86,41,+45,57.7,14,36.8,76,9,9,0,67,3,1,430,359
39,2024-2025,Brentford,eng Premier League,62,38,16,8,14,56,1.47,3420,142,10,66,57,+9,47.9,8,21.1,60,5,6,1,62,1,0,320,339
40,2024-2025,Manchester City,eng Premier League,59,38,21,8,9,71,1.87,3420,131,3,72,44,+28,61.3,13,34.2,68,3,4,1,59,2,1,287,382
41,2023-2024,Chelsea,eng Premier League,109,38,18,9,11,63,1.66,3420,148,6,77,63,+14,58.6,8,21.1,65,11,12,1,109,4,2,446,451
42,2023-2024,Wolves,eng Premier League,102,38,13,7,18,46,1.21,3420,146,14,50,65,-15,48.9,5,13.2,43,4,4,0,102,4,2,476,405
43,2023-2024,Sheffield Utd,eng Premier League,101,38,3,7,28,16,0.42,3420,152,20,35,104,-69,35.8,1,2.6,26,5,5,0,101,5,3,423,318
