Rk,Season,Team,Comp,LgRank▲,xG,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2025-2026,Arsenal,eng Premier League,1,21.8,13,9,3,1,30,2.31,1170,56,1,25,7,+18,58.5,7,53.8,23,2,2,0,21.8,20.2,+14.9,+13.3,14.2,15.4,+3.2,+2.8,+4.8,0.11,185,0.12,0.38,61,33.0,15.2,5
2,2022-2023,Manchester City,eng Premier League,1,78.6,38,28,5,5,89,2.34,3420,123,1,94,33,+61,64.7,13,34.2,83,9,10,1,78.6,71.1,+46.5,+41.3,57.5,57.6,+13.4,+11.9,+11.5,0.12,590,0.14,0.40,205,34.7,16.6,20
3,2023-2024,Manchester City,eng Premier League,1,80.5,38,28,7,3,91,2.39,3420,115,1,96,34,+62,65.2,13,34.2,85,9,10,1,80.5,72.9,+44.9,+39.6,60.2,62.1,+13.5,+12.1,+8.8,0.11,683,0.12,0.32,264,38.7,17.1,25
4,2024-2025,Liverpool,eng Premier League,1,82.2,38,25,9,4,84,2.21,3420,165,1,86,41,+45,57.7,14,36.8,76,9,9,0,82.2,75.2,+43.6,+38.4,61.6,54.3,+2.8,+0.8,+3.4,0.12,639,0.12,0.35,215,33.6,15.9,11
5,2025-2026,Manchester City,eng Premier League,2,24.4,13,8,1,4,25,1.92,1170,54,2,27,12,+15,57.6,5,38.5,25,0,1,1,24.4,23.6,+10.2,+11.2,21.0,17.1,+0.6,+1.4,+1.0,0.13,186,0.13,0.37,67,36.0,15.9,4
6,2024-2025,Arsenal,eng Premier League,2,59.9,38,20,14,4,74,1.95,3420,142,2,69,34,+35,56.9,13,34.2,65,2,2,0,59.9,58.4,+25.5,+26.3,45.3,45.7,+7.1,+6.6,+9.7,0.11,544,0.12,0.37,178,32.7,15.1,10
7,2022-2023,Arsenal,eng Premier League,2,71.6,38,26,6,6,84,2.21,3420,150,2,88,43,+45,59.3,14,36.8,81,3,4,1,71.6,68.9,+29.6,+30.8,53.5,46.8,+12.4,+12.1,+10.5,0.12,589,0.14,0.42,194,32.9,16.0,16
8,2023-2024,Arsenal,eng Premier League,2,76.1,38,28,5,5,89,2.34,3420,154,2,91,29,+62,58.2,18,47.4,76,10,10,0,76.1,68.5,+48.2,+42.8,55.3,57.8,+9.9,+7.5,+6.7,0.11,647,0.12,0.36,209,32.3,15.8,6
9,2025-2026,Chelsea,eng Premier League,3,22.9,13,7,3,3,24,1.85,1170,56,3,24,12,+12,57.4,6,46.2,23,1,1,0,22.9,22.1,+8.0,+7.2,18.4,15.2,+1.1,+0.9,-0.4,0.12,183,0.13,0.33,69,37.7,16.7,7
10,2022-2023,Manchester Utd,eng Premier League,3,67.7,38,23,6,9,75,1.97,3420,149,3,58,43,+15,53.7,17,44.7,53,3,3,0,67.7,65.3,+17.3,+17.3,52.2,44.6,-11.7,-12.3,-10.2,0.11,590,0.09,0.26,206,34.9,17.8,20
11,2024-2025,Manchester City,eng Premier League,3,68.1,38,21,8,9,71,1.87,3420,131,3,72,44,+28,61.3,13,34.2,68,3,4,1,68.1,64.9,+20.4,+20.3,54.2,53.8,+2.9,+3.1,-3.2,0.11,603,0.11,0.33,208,34.5,16.9,21
12,2023-2024,Liverpool,eng Premier League,3,87.8,38,24,10,4,82,2.16,3420,166,3,86,41,+45,61.3,10,26.3,74,6,9,3,87.8,80.4,+42.0,+35.5,63.7,55.6,-7.8,-6.4,-3.7,0.11,781,0.09,0.28,263,33.7,17.2,18
13,2025-2026,Aston Villa,eng Premier League,4,11.6,13,7,3,3,24,1.85,1170,61,4,16,11,+5,53.5,5,38.5,16,0,0,0,11.6,11.6,-5.0,-3.4,9.3,9.6,+4.4,+4.4,+2.7,0.08,149,0.11,0.33,48,32.2,18.1,6
14,2023-2024,Aston Villa,eng Premier League,4,63.3,38,20,8,10,68,1.79,3420,151,4,76,61,+15,53.1,8,21.1,68,4,4,0,63.3,60.3,+3.4,+2.0,48.6,42.5,+8.7,+7.7,+6.4,0.12,511,0.13,0.37,182,35.6,16.0,15
15,2024-2025,Chelsea,eng Premier League,4,67.8,38,20,9,9,69,1.82,3420,140,4,64,43,+21,57.1,11,28.9,57,4,5,1,67.8,63.8,+20.5,+21.3,52.7,41.8,-6.8,-6.8,-5.7,0.11,590,0.10,0.28,203,34.4,16.7,17
16,2022-2023,Newcastle Utd,eng Premier League,4,71.9,38,19,14,5,71,1.87,3420,155,4,68,33,+35,52.3,14,36.8,58,6,6,0,71.9,67.3,+32.3,+31.6,51.8,45.0,-7.9,-9.3,-9.8,0.12,565,0.10,0.32,184,32.6,15.6,15
17,2025-2026,Brighton,eng Premier League,5,19.7,13,6,4,3,22,1.69,1170,62,5,21,16,+5,49.9,3,23.1,19,2,3,1,19.7,17.4,+3.8,+3.9,13.2,10.4,+1.3,+1.6,-1.2,0.11,161,0.12,0.33,57,35.4,18.9,7
18,2024-2025,Newcastle Utd,eng Premier League,5,63.8,38,20,6,12,66,1.74,3420,163,5,68,47,+21,51.3,13,34.2,61,5,6,1,63.8,59.5,+18.3,+15.5,46.0,42.2,+2.2,+1.5,+4.0,0.12,519,0.12,0.37,163,31.4,15.9,14
19,2023-2024,Tottenham,eng Premier League,5,68.2,38,20,6,12,66,1.74,3420,170,5,74,61,+13,61.6,7,18.4,67,2,2,0,68.2,66.7,+4.8,+8.3,57.4,52.1,+0.8,+0.3,+0.6,0.12,582,0.12,0.32,207,35.6,16.5,11
20,2022-2023,Liverpool,eng Premier League,5,71.5,38,19,10,9,67,1.76,3420,164,5,75,47,+28,60.8,14,36.8,69,2,4,2,71.5,68.4,+20.7,+20.5,55.6,52.3,-0.5,+0.6,+2.4,0.12,601,0.11,0.34,203,33.8,16.2,7
21,2025-2026,Sunderland,eng Premier League,6,11.9,13,6,4,3,22,1.69,1170,51,6,17,13,+4,43.2,4,30.8,14,2,2,0,11.9,10.3,-5.1,-5.9,7.7,6.8,+4.1,+3.7,+3.3,0.08,125,0.11,0.39,36,28.8,15.6,1
22,2024-2025,Aston Villa,eng Premier League,6,56.1,38,19,9,10,66,1.74,3420,170,6,58,51,+7,50.5,9,23.7,53,3,6,3,56.1,51.3,+5.9,+3.5,41.7,36.9,-0.1,+1.7,+3.3,0.11,478,0.11,0.33,159,33.3,16.3,12
23,2022-2023,Brighton,eng Premier League,6,73.3,38,18,8,12,62,1.63,3420,143,6,72,53,+19,60.2,12,31.6,62,6,6,0,73.3,68.9,+23.1,+25.2,52.2,44.7,-5.3,-6.9,-6.2,0.12,607,0.10,0.28,219,36.1,16.8,12
24,2023-2024,Chelsea,eng Premier League,6,74.5,38,18,9,11,63,1.66,3420,148,6,77,63,+14,58.6,8,21.1,65,11,12,1,74.5,65.1,+16.4,+11.0,51.4,43.1,+1.5,-0.1,-0.4,0.12,537,0.12,0.34,194,36.1,17.3,22
25,2025-2026,Manchester Utd,eng Premier League,7,21.1,13,6,3,4,21,1.62,1170,55,7,21,20,+1,52.3,1,7.7,18,1,3,2,21.1,18.7,+2.7,+1.1,13.8,13.5,-2.1,-0.7,+1.2,0.10,194,0.09,0.28,65,33.5,16.6,2
26,2024-2025,Nott'ham Forest,eng Premier League,7,45.5,38,19,8,11,65,1.71,3420,167,7,58,46,+12,41.2,13,34.2,54,3,3,0,45.5,43.2,-3.4,-3.4,33.0,29.9,+11.5,+10.8,+9.0,0.10,460,0.12,0.33,162,35.2,17.5,15
27,2022-2023,Aston Villa,eng Premier League,7,50.3,38,18,7,13,61,1.61,3420,144,7,51,46,+5,49.3,12,31.6,46,3,4,1,50.3,47.2,-2.2,-0.7,38.8,31.6,-1.3,-1.2,-3.8,0.11,427,0.11,0.32,145,34.0,18.0,18
28,2023-2024,Newcastle Utd,eng Premier League,7,76.0,38,18,6,14,60,1.58,3420,149,7,85,62,+23,52.2,10,26.3,75,8,9,1,76.0,69.0,+14.6,+11.6,51.3,43.5,+7.0,+6.0,+3.7,0.13,542,0.14,0.38,196,36.2,15.7,9
29,2025-2026,Liverpool,eng Premier League,8,20.8,13,7,0,6,21,1.62,1170,55,8,20,20,0,61.2,4,30.8,19,1,1,0,20.8,20.1,+5.0,+5.9,16.6,13.1,-0.8,-1.1,-2.6,0.11,192,0.10,0.36,53,27.6,17.0,5
30,2023-2024,Manchester Utd,eng Premier League,8,56.5,38,18,6,14,60,1.58,3420,153,8,57,58,-1,50.6,9,23.7,51,6,7,1,56.5,51.0,-12.5,-12.4,40.1,34.6,+0.5,0.0,-4.1,0.10,543,0.09,0.28,182,33.5,17.4,15
31,2022-2023,Tottenham,eng Premier League,8,57.0,38,18,6,14,60,1.58,3420,140,8,70,63,+7,50.0,10,26.3,63,5,6,1,57.0,52.3,+7.4,+5.8,43.0,34.0,+11.0,+10.7,+3.0,0.10,512,0.12,0.34,186,36.3,16.7,14
32,2024-2025,Brighton,eng Premier League,8,58.7,38,16,13,9,61,1.61,3420,184,8,66,59,+7,52.3,8,21.1,57,7,7,0,58.7,53.3,+4.1,+5.6,40.4,39.1,+5.3,+3.7,+0.6,0.10,526,0.11,0.31,183,34.8,17.2,25
33,2025-2026,Crystal Palace,eng Premier League,9,22.1,13,5,5,3,20,1.54,1170,43,9,17,11,+6,42.9,6,46.2,13,3,3,0,22.1,19.8,+6.5,+5.0,13.9,12.0,-6.1,-6.8,-5.9,0.13,156,0.08,0.25,51,32.7,16.5,2
34,2023-2024,West Ham,eng Premier League,9,52.3,38,14,10,14,52,1.37,3420,109,9,60,74,-14,41.1,5,13.2,54,4,5,1,52.3,48.4,-18.8,-14.8,34.8,30.8,+5.7,+5.6,+5.2,0.11,445,0.12,0.37,146,32.8,16.2,17
35,2022-2023,Brentford,eng Premier League,9,56.3,38,15,14,9,59,1.55,3420,171,9,58,46,+12,43.8,12,31.6,49,7,8,1,56.3,50.1,+7.5,+2.5,38.4,30.5,-0.3,-1.1,-2.4,0.13,400,0.12,0.33,147,36.8,15.7,14
36,2024-2025,Bournemouth,eng Premier League,9,64.0,38,15,11,12,56,1.47,3420,162,9,58,46,+12,48.5,9,23.7,51,6,7,1,64.0,58.5,+15.5,+13.2,43.8,36.5,-7.0,-7.5,-2.8,0.10,574,0.09,0.27,192,33.4,16.7,10
37,2025-2026,Brentford,eng Premier League,10,21.2,13,6,1,6,19,1.46,1170,57,10,21,20,+1,43.5,2,15.4,16,5,7,2,21.2,15.8,+5.8,+2.7,12.0,9.6,-0.2,+0.2,-3.0,0.12,134,0.12,0.33,49,36.6,15.0,1
38,2022-2023,Fulham,eng Premier League,10,46.2,38,15,7,16,52,1.37,3420,152,10,55,53,+2,48.8,9,23.7,47,5,9,4,46.2,39.1,-17.4,-18.6,28.5,23.7,+5.8,+7.9,+4.5,0.10,420,0.11,0.34,137,32.6,17.3,17
39,2023-2024,Crystal Palace,eng Premier League,10,48.6,38,13,10,15,49,1.29,3420,126,10,57,58,-1,42.3,10,26.3,52,4,4,0,48.6,45.4,-3.4,-4.2,38.7,31.5,+7.4,+6.6,+4.3,0.10,452,0.12,0.32,162,35.8,17.2,20
40,2024-2025,Brentford,eng Premier League,10,59.0,38,16,8,14,56,1.47,3420,142,10,66,57,+9,47.9,8,21.1,60,5,6,1,59.0,54.4,+3.6,-0.3,42.4,38.1,+6.0,+5.6,+1.6,0.13,434,0.14,0.35,173,39.9,14.9,10
